_id	model.x	model.y	contextWindow	FirstOrderWeighting	BNCweighting	SecondOrderWindow	SecondOrderScore	stress
television.n.10-10.weightsNONE.10-10.diceM	6.29588902276	-5.06625981507	L10-R10	weightsNONE	none	L10-R10	diceM	23.40
television.n.10-10.weightsNONE.10-10.LLR	3.67951033545	-2.17280713779	L10-R10	weightsNONE	none	L10-R10	LLR	30.35
television.n.10-10.weightsNONE.10-10.pospmi	3.17161479795	-0.762790453189	L10-R10	weightsNONE	none	L10-R10	pospmi	22.62
television.n.10-10.weightsNONE.10-10.tScore	3.51310252288	-1.61991936723	L10-R10	weightsNONE	none	L10-R10	tScore	24.64
television.n.10-10.weightsNONE.2-2.diceM	-1.12665908483	-7.37648722663	L10-R10	weightsNONE	none	L2-R2	diceM	24.63
television.n.10-10.weightsNONE.2-2.LLR	7.0595546962	-2.83854837254	L10-R10	weightsNONE	none	L2-R2	LLR	33.65
television.n.10-10.weightsNONE.2-2.pospmi	4.36022653308	-2.70871613739	L10-R10	weightsNONE	none	L2-R2	pospmi	26.26
television.n.10-10.weightsNONE.2-2.tScore	5.4325745552	-2.20889109207	L10-R10	weightsNONE	none	L2-R2	tScore	31.30
television.n.10-10.weightsNONE.4-4.diceM	3.89415369758	-5.59116412264	L10-R10	weightsNONE	none	L4-R4	diceM	22.81
television.n.10-10.weightsNONE.4-4.LLR	4.69177565403	-2.63905615352	L10-R10	weightsNONE	none	L4-R4	LLR	32.30
television.n.10-10.weightsNONE.4-4.pospmi	3.55152864426	-1.18209611695	L10-R10	weightsNONE	none	L4-R4	pospmi	24.05
television.n.10-10.weightsNONE.4-4.tScore	3.80085553051	-1.89869312624	L10-R10	weightsNONE	none	L4-R4	tScore	27.73
television.n.10-10.weightsNONE.7-7.diceM	4.44939942142	-5.59185613559	L10-R10	weightsNONE	none	L7-R7	diceM	22.75
television.n.10-10.weightsNONE.7-7.LLR	4.07162816094	-2.18537195459	L10-R10	weightsNONE	none	L7-R7	LLR	29.60
television.n.10-10.weightsNONE.7-7.pospmi	3.22665181212	-0.978436871182	L10-R10	weightsNONE	none	L7-R7	pospmi	22.98
television.n.10-10.weightsNONE.7-7.tScore	3.87922017014	-1.6790463546	L10-R10	weightsNONE	none	L7-R7	tScore	25.37
television.n.20-20.weightsNONE.10-10.diceM	2.26570940914	-3.97908101729	L20-R20	weightsNONE	none	L10-R10	diceM	21.76
television.n.20-20.weightsNONE.10-10.LLR	1.91354847072	-3.00496628519	L20-R20	weightsNONE	none	L10-R10	LLR	30.72
television.n.20-20.weightsNONE.10-10.pospmi	1.98889225095	-1.38714549631	L20-R20	weightsNONE	none	L10-R10	pospmi	22.14
television.n.20-20.weightsNONE.10-10.tScore	2.26107639586	-2.09207510986	L20-R20	weightsNONE	none	L10-R10	tScore	25.09
television.n.20-20.weightsNONE.2-2.diceM	-2.5607489347	-5.63015944257	L20-R20	weightsNONE	none	L2-R2	diceM	23.08
television.n.20-20.weightsNONE.2-2.LLR	-8.90749505953	-5.79449349804	L20-R20	weightsNONE	none	L2-R2	LLR	41.26
television.n.20-20.weightsNONE.2-2.pospmi	2.16260494288	-2.76929564284	L20-R20	weightsNONE	none	L2-R2	pospmi	25.90
television.n.20-20.weightsNONE.2-2.tScore	1.7583291441	-2.68937107211	L20-R20	weightsNONE	none	L2-R2	tScore	30.68
television.n.20-20.weightsNONE.4-4.diceM	-2.41572191808	-5.69661260625	L20-R20	weightsNONE	none	L4-R4	diceM	21.26
television.n.20-20.weightsNONE.4-4.LLR	-2.3662976848	7.32841491577	L20-R20	weightsNONE	none	L4-R4	LLR	32.88
television.n.20-20.weightsNONE.4-4.pospmi	1.46260914146	-2.0756507391	L20-R20	weightsNONE	none	L4-R4	pospmi	23.77
television.n.20-20.weightsNONE.4-4.tScore	2.26130389003	-2.82331417977	L20-R20	weightsNONE	none	L4-R4	tScore	28.82
television.n.20-20.weightsNONE.7-7.diceM	1.86336610508	-5.33738667068	L20-R20	weightsNONE	none	L7-R7	diceM	21.63
television.n.20-20.weightsNONE.7-7.LLR	2.47586215768	-3.74423130227	L20-R20	weightsNONE	none	L7-R7	LLR	31.96
television.n.20-20.weightsNONE.7-7.pospmi	1.68368779542	-1.59953344835	L20-R20	weightsNONE	none	L7-R7	pospmi	22.80
television.n.20-20.weightsNONE.7-7.tScore	1.93329931457	-2.00966141465	L20-R20	weightsNONE	none	L7-R7	tScore	25.89
