_id	senselabel	country	LeNC44.ppmi.x	LeNC44.ppmi.y	LeNC44.L1LLR.x	LeNC44.L1LLR.y	LeNC44.L1LLRx5.x	LeNC44.L1LLRx5.y	LeNC77.ppmi.x	LeNC77.ppmi.y	LeNC77.L1LLR.x	LeNC77.L1LLR.y	LeNC77.L1LLRx5.x	LeNC77.L1LLRx5.y	LeNC44.ppmi.MaxWeight	LeNC44.ppmi.SummedWeights	LeNC44.ppmi.Non-zeroWeights	LeNC44.ppmi.MaxWeightedWord	_text	LeNC44.L1LLR.MaxWeight	LeNC44.L1LLR.SummedWeights	LeNC44.L1LLR.Non-zeroWeights	LeNC44.L1LLR.MaxWeightedWord	LeNC44.L1LLRx5.MaxWeight	LeNC44.L1LLRx5.SummedWeights	LeNC44.L1LLRx5.Non-zeroWeights	LeNC44.L1LLRx5.MaxWeightedWord	LeNC77.ppmi.MaxWeight	LeNC77.ppmi.SummedWeights	LeNC77.ppmi.Non-zeroWeights	LeNC77.ppmi.MaxWeightedWord	LeNC77.L1LLR.MaxWeight	LeNC77.L1LLR.SummedWeights	LeNC77.L1LLR.Non-zeroWeights	LeNC77.L1LLR.MaxWeightedWord	LeNC77.L1LLRx5.MaxWeight	LeNC77.L1LLRx5.SummedWeights	LeNC77.L1LLRx5.Non-zeroWeights	LeNC77.L1LLRx5.MaxWeightedWord
koper/noun/BL_19990403_01/59429	"""buyer"""	BE	1.0144692235	-0.469671511	0.7471114768	-0.0329088793	0.1444446596	0.6685504498	2.3635701609	0.6344724492	0.355959365	0.8927931964	0.7584286027	0.6029705036	3.15	8.84	11	voorschot(3.15)	"De <font color=""red"">koper</font> echter bedacht zich en omdat de agent-bijklusser weigerde het voorschot terug te geven , legde hij klacht neer bij de plaatselijke politie ."	6.46	41.93	11	de(6.46)	8.07	58.75	11	de(8.07)	7.87	16.05	12	agent-bijklusser(7.87)	6.1	46.01	12	de(6.1)	7.71	64.1	12	de(7.71)
koper/noun/BL_19990526_01/23056	"""buyer"""	BE	0.2171945539	2.3274773641	2.4595733089	2.1439289388	0.0414114801	-1.3654610716	-2.7540886336	-2.2505910937	2.1965899838	1.2066122378	-0.9373677677	-1.0248715341	2.03	7.68	9	gevonden(2.03)	"Union Minière heeft dan toch een <font color=""red"">koper</font> gevonden voor de vestiging in Overpelt , Overpelt-Plascobel ."	6.59	29.52	9	gevonden(6.59)	8.2	41.78	9	gevonden(8.2)	5.87	14.93	10	Overpelt-Plascobel(5.87)	6.41	38.46	10	gevonden(6.41)	8.01	53.47	10	gevonden(8.01)
koper/noun/BL_19990526_01/23162	"""buyer"""	BE	-4.2581366155	0.4173823665	4.5791449874	7.4211848834	4.3886451735	-4.9366609632	-0.6586244081	6.6526519525	4.7413509201	-1.2725651033	-3.7959553434	-1.9598319551	3.73	6.77	9	opdagen(3.73)	"Een <font color=""red"">koper</font> kwam er echter maar niet opdagen ."	5.66	26.56	9	opdagen(5.66)	7.27	39.26	9	opdagen(7.27)	5.87	11.73	9	Overpelt-Plascobel(5.87)	5.74	29.6	9	opdagen(5.74)	7.34	43.22	9	opdagen(7.34)
koper/noun/BL_20000318_01/63643	"""buyer"""	BE	3.4966165637	0.0501363766	-1.3261759554	-2.3382464111	-1.3350204242	3.3704307527	3.4013324204	-0.6262196998	-1.2512176796	1.4849256565	1.8891549102	2.3532795793	6.35	11.92	8	kinderporno-materiaal(6.35)	"In het Franse Macon hebben vrijdag de advocaten van 66 producenten en <font color=""red"">kopers</font> van kinderporno-materiaal de in vrijheidstelling van hun cliënten gepleit ."	6.46	27.23	8	de(6.46)	8.07	39.14	8	de(8.07)	5.79	10.2	9	kinderporno-materiaal(5.79)	6.1	27.09	9	de(6.1)	7.71	38.43	9	de(7.71)
koper/noun/BL_20040603_01/40373	"""copper"""	BE	3.2225917372	-0.1734216626	1.506998665	-3.2034593045	4.1207538577	-1.3765838814	4.3866403421	0.1317017125	1.8859054609	-1.9157832115	-1.9116090203	-1.0620426764	3.43	5.46	8	Koper(3.43)	"Koper Weet er iemand hoe ik <font color=""red"">koper</font> kan opblinken dat vernist is geweest ?"	6.46	26.77	8	de(6.46)	8.07	38.19	8	de(8.07)	4.69	10.27	10	vernist(4.69)	6.23	31.23	10	Koper(6.23)	7.84	45.52	10	Koper(7.84)
koper/noun/BL_20040618_01/16652	"""buyer"""	BE	-0.7944663724	-1.8066419573	0.7063106283	5.5563342157	3.8575173264	-1.7496049315	1.3829196813	3.2260401169	1.7643079747	-1.8594910492	-1.7549990727	-1.0905366897	5.44	9.55	11	potentiële(5.44)	"Uit de enquête blijkt ook dat er nog heel wat potentiële <font color=""red"">kopers</font> zijn , die het Bilzens handelscentrum niet of nauwelijks kennen ."	7.68	39.23	11	potentiële(7.68)	9.29	55.34	11	potentiële(9.29)	4.91	8.06	11	potentiële(4.91)	7.59	39.05	11	potentiële(7.59)	9.2	56.05	11	potentiële(9.2)
koper/noun/DM_19990429_01/90368	"""buyer"""	BE	0.9742539569	1.1776985905	0.3174129696	-3.5416380183	4.2463405951	1.2592166215	1.4109434155	-0.2950830761	2.972274402	0.9732535878	2.4839068484	-1.2712647837	1.83	7.96	11	prijs(1.83)	"Belgisch invoerder D'Ieteren zegt wel dat hij de hem geleverde exemplaren vrij makkelijk verkocht krijgt , maar vooral in Duitsland blijven de <font color=""red"">kopers</font> weg ."	6.46	27.33	11	de(6.46)	8.07	42.76	11	de(8.07)	1.94	9.23	11	prijs(1.94)	6.1	31.68	11	de(6.1)	7.71	48.06	11	de(7.71)
koper/noun/DM_19990708_01/5015	"""buyer"""	BE	2.3597652169	-0.1012984046	8.2744494469	0.7637153401	-3.4366464834	-5.1714112696	0.9206241463	-1.0874338456	3.7776821235	2.8514915578	2.6192617651	-3.4379184273	1.05	2.91	7	Delhaize(1.05)	""" Een bon per <font color=""red"">koper</font> "" , oordeelt Hilde Vanneste , woordvoerster bij Delhaize ."	5.33	11.21	7	Een(5.33)	6.94	18.43	7	Een(6.94)	1.36	5.25	8	bon(1.36)	5.28	18.48	8	Een(5.28)	6.88	29.13	8	Een(6.88)
koper/noun/DM_20000318_01/46138	"""buyer"""	BE	2.3923348998	1.4105951123	-0.2946899275	-1.7513218443	-0.7196085972	2.0025030468	1.2953654521	-1.7307138198	-0.4437082164	1.4408714098	1.6754373653	0.8448044613	1.83	5.01	9	prijs(1.83)	"Als de vissers en de <font color=""red"">kopers</font> het eens zijn geworden over de prijs van de vis die zich aan boord bevindt , zet het schip koers naar een haven die zich het dichtst bij de koper bevindt ."	6.46	30.14	9	de(6.46)	8.07	42.71	9	de(8.07)	1.94	5.52	9	prijs(1.94)	6.1	32.61	9	de(6.1)	7.71	46.36	9	de(7.71)
koper/noun/DM_20000412_01/71302	"""buyer"""	BE	-5.9735821265	2.0608311862	-4.0664065638	-0.5314411542	0.6973271989	4.8577608683	4.2200613454	2.6986936339	-1.7668045549	-0.0622378942	-0.0251556599	3.2997967293	4.09	7.08	7	veilinghuis(4.09)	"Van de 4.000 <font color=""red"">kopers</font> waarmee het Amsterdamse veilinghuis afgelopen jaar zaken deed , was de helft particulier ."	6.46	21.39	7	de(6.46)	8.07	30.82	7	de(8.07)	3.87	14.34	13	veilinghuis(3.87)	6.1	30.59	13	de(6.1)	7.71	48.92	13	de(7.71)
