"topic"	"V1"	"V2"	"context"
"motor/noun/ad19990112/29859"	-41.9781686404273	-43.9219729162434	"De organisatie besloot de rit voor de <font color=red><b>motoren</b></font> te schrappen ."	"De organisatie besloot de rit voor de <font color=red><b>motoren</b></font> te schrappen ."
"motor/noun/ad19990119/38126"	12.1219515674707	22.7941905802731	"Bijvoorbeeld : Ford staat niet meer toe dat er voor de Focus en de Mondeo installaties worden ingebouwd ( AD , 9 januari ) , de <font color=red><b>motoren</b></font> worden te heet ."	"Bijvoorbeeld : Ford staat niet meer toe dat er voor de Focus en de Mondeo installaties worden ingebouwd ( AD , 9 januari ) , de <font color=red><b>motoren</b></font> worden te heet ."
"motor/noun/ad19990123/14770"	-16.25285541326	-64.1088656512321	"De 65 pk <font color=red><b>motor</b></font> van het exemplaar dat wij mochten proberen , had enkele honderden kilometers gedraaid en kon derhalve nog niet erg overtuigen ."	"De 65 pk <font color=red><b>motor</b></font> van het exemplaar dat wij mochten proberen , had enkele honderden kilometers gedraaid en kon derhalve nog niet erg overtuigen ."
"motor/noun/ad19990130/13000"	12.495661262417	-9.07598261485134	"Kleppen Onderverdeeld in in- en uitlaatkleppen , regelen de ademhaling van de <font color=red><b>motor</b></font> ."	"Kleppen Onderverdeeld in in- en uitlaatkleppen , regelen de ademhaling van de <font color=red><b>motor</b></font> ."
"motor/noun/ad19990130/13282"	56.7220868393142	30.2862621665326	"Motormanagement De computer die de regeling van inspuiting en ontsteking in de <font color=red><b>motor</b></font> regelt , maar in een aantal gevallen ook inlaatkleppen opent en sluit of cilinders in- en uitschakelt ."	"Motormanagement De computer die de regeling van inspuiting en ontsteking in de <font color=red><b>motor</b></font> regelt , maar in een aantal gevallen ook inlaatkleppen opent en sluit of cilinders in- en uitschakelt ."
"motor/noun/ad19990130/14764"	-19.8512653408999	7.02788621491237	"W12 <font color=red><b>motor</b></font> ."	"W12 <font color=red><b>motor</b></font> ."
"motor/noun/ad19990206/13972"	-33.4923548149259	16.5946258496264	"De 1,3 liter <font color=red><b>motor</b></font> in deze Suzuki getuigt van moderne techniek ."	"De 1,3 liter <font color=red><b>motor</b></font> in deze Suzuki getuigt van moderne techniek ."
"motor/noun/ad19990208/6402"	-84.6378625377491	38.4375075273853	"Waarna hij toegaf dat Paars-II veel weg heeft van een moeizaam op gang komende <font color=red><b>motor</b></font> ."	"Waarna hij toegaf dat Paars-II veel weg heeft van een moeizaam op gang komende <font color=red><b>motor</b></font> ."
"motor/noun/ad19990410/2461"	-22.2454133997543	19.3683035902392	"Speciaal voor deze auto is bijvoorbeeld een zeer geavanceerde 1,0 liter <font color=red><b>motor</b></font> ontworpen , die optimale milieuvriendelijkheid en zuinigheid combineert met goede prestaties ."	"Speciaal voor deze auto is bijvoorbeeld een zeer geavanceerde 1,0 liter <font color=red><b>motor</b></font> ontworpen , die optimale milieuvriendelijkheid en zuinigheid combineert met goede prestaties ."
"motor/noun/ad19990410/4937"	54.3176791965189	-42.1434162027176	"Omdat de auto ook in andere opzichten , zoals de wegligging en besturing , naar sportiviteit neigt , past de <font color=red><b>motor</b></font> er heel goed bij ."	"Omdat de auto ook in andere opzichten , zoals de wegligging en besturing , naar sportiviteit neigt , past de <font color=red><b>motor</b></font> er heel goed bij ."
