token	label	LeNC44.L1LLRx5.x	LeNC44.L1LLRx5.y	LeNC77.L1LLR.x	LeNC77.L1LLR.y	LeNC44.L1LLR.x	LeNC44.L1LLR.y	LeNC77.L1LLRx5.x	LeNC77.L1LLRx5.y	LeNC44.ppmi.x	LeNC44.ppmi.y	LeNC77.ppmi.x	LeNC77.ppmi.y	text	LeNC44.L1LLRx5.maxW	LeNC77.L1LLR.maxW	LeNC44.L1LLR.maxW	LeNC77.L1LLRx5.maxW	LeNC44.ppmi.maxW	LeNC77.ppmi.maxW
motor/noun/ad19991016/65663	a	4.21306260359	-0.669433747737	2.0953992938	2.71695605114	-3.62818382831	1.70158870031	-2.1513930921	0.742905889566	-2.55078910256	3.57458643821	-4.42408123978	4.8289440889	"Het gebruik van magnesium in het versnellingshuis maakt de <font color=""red"">motor</font> alleen al zeven kilogram lichter ."	9.52	7.67	7.91	9.28	5.03	4.89
motor/noun/ad20000801/6645	a	-1.65198970429	5.02479174746	-3.04063338584	-0.141102861004	4.04500166534	3.92939006585	3.71329198544	1.1208279293	0.521125734091	0.121100626809	4.57024747627	-1.03617784298	""" Aangezien Renault straks aan Benetton gaat leveren , kon Supertec mij niet verzekeren dat we een nieuwe <font color=""red"">motor</font> zouden krijgen ."	8.26	6.6	6.65	8.21	0.96	4.67
motor/noun/ad20000909/43189	a	4.54013262646	4.04525697929	-1.44060673969	4.02574501693	-0.343377890298	5.61364423916	3.99484720433	-1.65111701191	-3.28656416192	3.30366826447	-3.84539304506	-5.22309564923	"Het programma begint met de 1,6 en de 1,8 liter <font color=""red"">motoren</font> met VVTi , wat staat voor variabele klepopening ."	9.52	7.67	7.91	9.28	3.43	3.41
motor/noun/ad20000925/33286	a	-3.00374868137	-1.20789006691	1.0727063429	-1.82540242045	1.50477218683	-3.11594803741	-0.622950222346	2.62429324623	4.52754378201	1.43408817549	-1.57260998188	-5.30144788895	"Häkkinen zag tot zijn schrik het vuur uit zijn <font color=""red"">motor</font> slaan en kon niet anders dan zijn bolide aan de kant zetten ."	9.52	7.67	7.91	9.28	3.24	3.27
motor/noun/ad20001028/3229	a	2.93464352656	5.21936226456	-2.80394968702	2.85586299284	0.65190671436	5.78926851483	3.91076437522	-1.13435691604	-2.24984739952	1.7372651934	-1.9107941577	4.74213154089	"Zo`n kleinere <font color=""red"">motor</font> combineert dezelfde kracht en souplesse met een veel lager verbruik en aanzienlijk schonere uitlaatgassen ."	8.58	7.06	6.97	8.67	4.97	4.62
motor/noun/ad20001117/55839	a	2.65599819343	1.43838266425	0.755280103339	-0.911766268854	0.758703450446	-1.09721756221	-0.121465677174	2.04888777352	-3.06019172477	0.922742531353	-0.788042660971	4.68974718411	"Bijvoorbeeld door op de <font color=""red"">motor</font> gemonteerde elektronische ` trillingtellers ' , elektronisch beveiligd tegen fraude , die eens per jaar worden ` uitgelezen ' ."	9.52	7.67	7.91	9.28	4.64	4.28
motor/noun/ad20001223/66897	a	0.999347846368	-2.13462616895	2.31917287561	0.434326221859	-1.78234342519	-1.41174498391	-1.43522130205	0.22596090758	1.19919067331	-0.0521430232265	1.47915846941	-0.604519377962	"Maar het ergste van alles was dat één van de twee <font color=""red"">motoren</font> was verwoest : de Zeetijger was verloren , zeiden experts ."	9.52	7.67	7.91	9.28	0.69	0.55
motor/noun/ad20010131/26543	a	2.15920793015	2.50011280772	-0.575858037183	1.52539624232	0.583382927385	2.80757252346	1.58255275314	1.44576251341	1.93029618974	-2.53797538522	1.02092650257	-5.66096647165	"Minardi is het enige team in de Formule 1-wereld dat voor komend seizoen nog geen rijders , hoofdsponsor en <font color=""red"">motoren</font> heeft ."	9.52	7.67	7.91	9.28	2.76	2.9
motor/noun/ad20010210/1906	a	-0.967909804806	2.18225314942	-1.22024853531	0.196694841271	2.17439543114	1.41401551986	2.26859712299	0.114216835454	-0.998125319009	2.12956538002	-2.89866921382	1.79790466598	"De 1,7 liter <font color=""red"">motor</font> is behoorlijk fel ."	9.52	7.67	7.91	9.28	3.43	3.8
motor/noun/ad20010303/8017	a	2.88191031346	-3.49997092039	3.08209652243	-0.71219163605	-3.5773947035	-1.54750876662	-2.22331941027	1.61724258002	2.79972022991	4.2810416373	-5.36214952829	-2.65708874375	"Ferrari blijft de snelle <font color=""red"">motoren</font> van Alfa Romeo trouw , tot hij beseft dat het misschien nog beter kan ."	9.52	7.67	7.91	9.28	2.39	2.46
